name,address,tax_id,incorporation_date,phone,email,company_type,status,field_of_business,hosocongty_url,masothue_url,scraping_time
CÔNG TY TNHH SÁCH ABC,"2273/29 Phạm Thế Hiển, Phường 6, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",0314158189,14/12/2016,01699911860,,,,Bán buôn đồ dùng khác cho gia đình,https://hosocongty.vn/cong-ty-tnhh-sach-abc-com-1482581.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-kinh-doanh-van-phong-pham-va-may-moc-thiet-bi-truong-hoc-abc-mst-0314158189.html,2024-08-10 21:22:46
CÔNG TY TNHH MTV THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU THÁI KHÁNH PHÁT,"187 Lê Duẩn, Phường Tân Chính, Quận Thanh Khê, Thành phố Đà Nẵng, Việt Nam",0401804939,14/12/2016,0909905651,,Công ty TNHH một thành viên,,Bán buôn thực phẩm,https://hosocongty.vn/cong-ty-tnhh-mtv-thuong-mai-dich-vu-xuat-nhap-khau-thai-khanh-phat-com-1482582.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mtv-thuong-mai-dich-vu-xuat-nhap-khau-thai-khanh-phat-mst-0401804939.html,2024-08-10 21:22:56
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TẬP ĐOÀN DỊCH VỤ BẢO VỆ THÁI SƠN,"Lô ALK01, số nhà 45, Khu đô thị Thăng Long, Xã Liêu Xá, Huyện Yên Mỹ, Tỉnh Hưng Yên, Việt Nam",0900233663-002,14/12/2016,03213942771,,Văn phòng đại diện,,,https://hosocongty.vn/van-phong-dai-dien-cong-ty-tnhh-tap-doan-dich-vu-bao-ve-thai-son-com-1482583.htm,https://thuvienphapluat.vn/ma-so-thue/van-phong-dai-dien-cong-ty-tnhh-tap-doan-dich-vu-bao-ve-thai-son-mst-0900233663-002.html,2024-08-10 21:23:02
CÔNG TY TNHH MTV THƯƠNG MẠI CHÍ THIỆN,"ấp Chợ Dưới, Xã Phước Hưng, Huyện Trà Cú, Tỉnh Trà Vinh, Việt Nam",2100614688,14/12/2016,0908999095,,Công ty TNHH một thành viên,,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://hosocongty.vn/cong-ty-tnhh-mtv-thuong-mai-chi-thien-com-1482584.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mtv-thuong-mai-chi-thien-mst-2100614688.html,2024-08-10 21:23:07
CHI NHÁNH 2 - CÔNG TY TNHH DỊCH VỤ BẰNG LĂNG,"46 Nguyễn Thông, Phường 09, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0305043569-002,02/06/2017,,,Chi nhánh,,"Cắt tóc, làm đầu, gội đầu",https://hosocongty.vn/chi-nhanh-2-cong-ty-tnhh-dich-vu-bang-lang-com-1561922.htm,https://thuvienphapluat.vn/ma-so-thue/chi-nhanh-2-cong-ty-tnhh-dich-vu-bang-lang-mst-0305043569-002.html,2024-08-10 21:23:16
CHI NHÁNH CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI AN PHA TA,"64/10 Lũy Bán Bích P.Tân Thới Hoà, Phường Tân Thới Hoà, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",0304380240-010,02/06/2017,,,Chi nhánh,,Vận tải hàng hoá bằng đường bộ,https://hosocongty.vn/chi-nhanh-cong-ty-co-phan-dich-vu-thuong-mai-an-pha-ta-com-1561923.htm,https://thuvienphapluat.vn/ma-so-thue/chi-nhanh-cong-ty-co-phan-dich-vu-thuong-mai-an-pha-ta-mst-0304380240-010.html,2024-08-10 21:23:24
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI - DỊCH VỤ - XUẤT NHẬP KHẨU TRÚC MAI,"89 Đường D1 Khu dân cư Him Lam, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",0302759523-001,30/05/2017,0866 587 351,,Văn phòng đại diện,,,https://hosocongty.vn/van-phong-dai-dien-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-xuat-nhap-khau-truc-mai-com-1561924.htm,https://thuvienphapluat.vn/ma-so-thue/van-phong-dai-dien-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-xuat-nhap-khau-truc-mai-mst-0302759523-001.html,2024-08-10 21:23:28
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ KỶ NGUYÊN,"839/3E Quốc Lộ 1A, Khu Phố 5, phường An Phú Đông, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",0302007410-006,30/05/2017,,,Chi nhánh,,Sửa chữa thiết bị khác,https://hosocongty.vn/chi-nhanh-cong-ty-tnhh-thuong-mai-va-dich-vu-ky-nguyen-com-1561925.htm,https://thuvienphapluat.vn/ma-so-thue/chi-nhanh-cong-ty-tnhh-thuong-mai-va-dich-vu-ky-nguyen-mst-0302007410-006.html,2024-08-10 21:23:32
CỬA HÀNG THIẾT BỊ TÂN THÀNH,"260 Đường Đỗ Ngọc Thạnh, Phường 12, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",0301048213-005,02/06/2017,,,,,Bán buôn chuyên doanh khác chưa được phân vào đâu,https://hosocongty.vn/cua-hang-thiet-bi-tan-thanh-com-1561926.htm,https://thuvienphapluat.vn/ma-so-thue/cua-hang-thiet-bi-tan-thanh-mst-0301048213-005.html,2024-08-10 21:23:34
VĂN PHÒNG ĐẠI DIỆN TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI AFA VIỆT NAM,"Số 47 Đường số 4, Khu phố 4, Phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0106190294-001,30/05/2017,,,Văn phòng đại diện,,,https://hosocongty.vn/van-phong-dai-dien-tai-thanh-pho-ho-chi-minh-cong-ty-co-phan-dau-tu-va-thuong-mai-afa-viet-nam-com-1561927.htm,https://thuvienphapluat.vn/ma-so-thue/van-phong-dai-dien-tai-thanh-pho-ho-chi-minh-cong-ty-co-phan-dau-tu-va-thuong-mai-afa-viet-nam-mst-0106190294-001.html,2024-08-10 21:23:42
CÔNG TY TNHH BỒN NƯỚC INOX TRƯỜNG THỌ,"1334 Kha Vạn Cân, Phường Linh Trung, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0314437104,31/05/2017,,,,,Bán buôn kim loại và quặng kim loại,https://hosocongty.vn/cong-ty-tnhh-bon-nuoc-inox-truong-tho-com-1561928.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-bon-nuoc-inox-truong-tho-mst-0314437104.html,2024-08-10 21:23:47
CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT DỊCH VỤ TỨ QUÝ,"999 Quang Trung, Phường 14, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",0314437094,31/05/2017,,,,,(Mã ngành cũ) - Xây dựng công trình kỹ thuật dân dụng khác,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-ky-thuat-dich-vu-tu-quy-com-1561929.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-ky-thuat-dich-vu-tu-quy-mst-0314437094.html,2024-08-10 21:23:54
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LUCKY GOLD STAR,"Số 37 đường 35A Trịnh Quang Nghị, Phường 7, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",0314437087,31/05/2017,,,,,Bán buôn chuyên doanh khác chưa được phân vào đâu,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-lucky-gold-star-com-1561930.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-lucky-gold-star-mst-0314437087.html,2024-08-10 21:23:59
CÔNG TY TNHH KZ,"316 Lê Văn Sỹ, Phường 1, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0314437062,31/05/2017,0903319748,,,,Cung ứng và quản lý nguồn lao động,https://hosocongty.vn/cong-ty-tnhh-kz-com-1561931.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-kz-mst-0314437062.html,2024-08-10 21:24:05
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BA THẬT,"667 TBĐ53 ấp 7, Xã Xuân Thới Thượng, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",0314437055,31/05/2017,01263745399,,,,"Sản xuất, phân phối hơi nước, nước nóng, điều hòa không khí và sản xuất nước đá",https://hosocongty.vn/cong-ty-tnhh-san-xuat-thuong-mai-ba-that-com-1561932.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-san-xuat-thuong-mai-ba-that-mst-0314437055.html,2024-08-10 21:24:16
CÔNG TY TRÁCH NHIỆM HỮU HẠN ĐÂU TƯ BÂT ĐÔÊNG SAN THANH NGUYÊN,"Lô 16, nền 31, tổ 1, đường Nguyễn Phúc Chu, khu phố 5, Phường Bình San, Thành phố Hà Tiên, Tỉnh Kiên Giang, Việt Nam",1702131340,21/06/2018,0985302966,,,,"(Mã ngành cũ) - Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",https://hosocongty.vn/cong-ty-trach-nhiem-huu-han-dau-tu-bat-doeng-san-thanh-nguyen-com-1687416.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-trach-nhiem-huu-han-dau-tu-bat-doeng-san-thanh-nguyen-mst-1702131340.html,2024-08-10 21:24:22
CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỨC ANH PHÚ QUỐC,"Lô KSMN 02 Khu du lịch Trường Thuận Phú Quốc, khu phức hợp Bãi Trường, Xã Dương Tơ, Thành phố Phú Quốc, Tỉnh Kiên Giang, Việt Nam",1702131358,21/06/2018,0978123467,,Công ty cổ phần,,Dịch vụ lưu trú ngắn ngày,https://hosocongty.vn/cong-ty-co-phan-dau-tu-duc-anh-phu-quoc-com-1687417.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-dau-tu-duc-anh-phu-quoc-mst-1702131358.html,2024-08-10 21:24:41
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT NHỰA - HẠT NHỰA VIỆT THUẬN HOÀNG,"Tổ 5, ấp Xóm Đồng, Xã Thanh Phước, Huyện Gò Dầu, Tỉnh Tây Ninh, Việt Nam",3901264878,21/06/2018,01238036789,,,,Bán buôn chuyên doanh khác chưa được phân vào đâu,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-san-xuat-nhua-hat-nhua-viet-thuan-hoang-com-1687418.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-san-xuat-nhua-hat-nhua-viet-thuan-hoang-mst-3901264878.html,2024-08-10 21:24:43
HỢP TÁC XÃ SẢN XUẤT VÀ DỊCH VỤ NÔNG NGHIỆP THỊNH PHƯƠNG,"Thôn Mai Thành, Xã Mai Pha, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",4900830219,21/06/2018,0936919099,,Hợp tác xã,NNT không hoạt động tại địa chỉ đã đăng ký,,https://hosocongty.vn/hop-tac-xa-san-xuat-va-dich-vu-nong-nghiep-thinh-phuong-com-1687419.htm,https://thuvienphapluat.vn/ma-so-thue/hop-tac-xa-san-xuat-va-dich-vu-nong-nghiep-thinh-phuong-mst-4900830219.html,2024-08-10 21:24:47
HỢP TÁC XÃ DỊCH VỤ VÀ PHÁT TRIỂN NÔNG NGHIỆP MIỀN NÚI KỲ SƠN,"Ki ốt Lương Hương Giang, bản Xiêng Thù, Xã Chiêu Lưu, Kỳ Sơn, Xã Chiêu Lưu, Huyện Kỳ Sơn, Tỉnh Nghệ An, Việt Nam",2901942169,21/06/2018,01648598922,,Hợp tác xã,Đang hoạt động,,https://hosocongty.vn/hop-tac-xa-dich-vu-va-phat-trien-nong-nghiep-mien-nui-ky-son-com-1687420.htm,https://thuvienphapluat.vn/ma-so-thue/hop-tac-xa-dich-vu-va-phat-trien-nong-nghiep-mien-nui-ky-son-mst-2901942169.html,2024-08-10 21:25:03
HỢP TÁC XÃ NÔNG NGHIỆP AN MÔ,"An Định, Xã Triệu Long, Huyện Triệu Phong, Tỉnh Quảng Trị, Việt Nam",3200664395,21/06/2018,01669764166,,Hợp tác xã,Đang hoạt động,Trồng lúa,https://hosocongty.vn/hop-tac-xa-nong-nghiep-an-mo-com-1687421.htm,https://thuvienphapluat.vn/ma-so-thue/hop-tac-xa-san-xuat-kinh-doanh-dich-vu-tong-hop-nong-nghiep-an-mo-mst-3200664395.html,2024-08-10 21:25:10
CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT XÂY DỰNG VÀ THƯƠNG MẠI AN KHANG HB,"Thôn Bình Tân, Xã Nam Thượng, Huyện Kim Bôi, Tỉnh Hòa Bình, Việt Nam",5400495148,21/06/2018,0978068010,,Công ty TNHH một thành viên,,(Mã ngành cũ) - Xây dựng công trình kỹ thuật dân dụng khác,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-san-xuat-xay-dung-va-thuong-mai-an-khang-hb-com-1687422.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-san-xuat-xay-dung-va-thuong-mai-an-khang-hb-mst-5400495148.html,2024-08-10 21:25:20
CÔNG TY TNHH CƠ KHÍ XÂY DỰNG DST HÒA BÌNH,"Khu Công nghiệp Mông Hóa, Xã Mông Hóa, Thành phố Hoà Bình, Tỉnh Hòa Bình, Việt Nam",5400495187,21/06/2018,0982455909,,,,Sản xuất các cấu kiện kim loại,https://hosocongty.vn/cong-ty-tnhh-co-khi-xay-dung-dst-hoa-binh-com-1687423.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-remak-hoa-binh-mst-5400495187.html,2024-08-10 21:25:28
CÔNG TY TNHH MẠNH QUÂN HB,"Đội 3, Xã Nam Thượng, Huyện Kim Bôi, Tỉnh Hòa Bình, Việt Nam",5400495194,21/06/2018,01656079168,,,,(Mã ngành cũ) - Xây dựng công trình kỹ thuật dân dụng khác,https://hosocongty.vn/cong-ty-tnhh-manh-quan-hb-com-1687424.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-manh-quan-hb-mst-5400495194.html,2024-08-10 21:25:33
CÔNG TY TNHH MTV TM & DV AN NAM PHÁT,"35, Đường D4, KDC Chánh Nghĩa, Tổ 11, Khu 12, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",3702673869,21/06/2018,0915260984,,Công ty TNHH một thành viên,,Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải,https://hosocongty.vn/cong-ty-tnhh-mtv-tm---dv-an-nam-phat-com-1687425.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mtv-tm-dv-an-nam-phat-mst-3702673869.html,2024-08-10 21:25:36
CÔNG TY TNHH MTV THƯƠNG MẠI DỊCH VỤ XNK HÙNG DUY,"Tổ 37, ấp Tân Thanh, Xã Tân Phú, Huyện Tân Châu, Tỉnh Tây Ninh, Việt Nam",3901263306,21/06/2018,0977517845,,Công ty TNHH một thành viên,,"Sản xuất giường, tủ, bàn, ghế",https://hosocongty.vn/cong-ty-tnhh-mtv-thuong-mai-dich-vu-xnk-hung-duy-com-1687426.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mtv-thuong-mai-dich-vu-xnk-hung-duy-mst-3901263306.html,2024-08-10 21:25:41
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU BÌNH TRANG,"59/4 Trần Văn Đang, Phường 09, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0312475633,25/09/2013,0913918357,,Công ty TNHH một thành viên,,Bán lẻ khác trong các cửa hàng kinh doanh tổng hợp,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-xuat-nhap-khau-binh-trang-com-61.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-xuat-nhap-khau-binh-trang-mst-0312475633.html,2024-08-10 21:25:57
CÔNG TY TNHH KING NANO ĐÔNG NAM Á,"Lầu 4, Block B, Tòa nhà Indochina, Số 4 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312475626,24/09/2013,0908888218,,,,"Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan",https://hosocongty.vn/cong-ty-tnhh-king-nano-dong-nam-a-com-62.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-king-nano-dong-nam-a-mst-0312475626.html,2024-08-10 21:26:01
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG SÔNG HẰNG,"35/3 Đường 36, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312475457,24/09/2013,0837269152,,,,Dịch vụ đóng gói,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-xay-dung-song-hang-com-73.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-xay-dung-song-hang-mst-0312475457.html,2024-08-10 21:26:05
CÔNG TY CỔ PHẦN CÁCH SỐNG QUỐC TẾ,"11-13 Hàn Thuyên, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312475312,24/09/2013,,,Công ty cổ phần,,Bán lẻ thực phẩm trong các cửa hàng chuyên doanh,https://hosocongty.vn/cong-ty-co-phan-cach-song-quoc-te-com-85.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-cach-song-quoc-te-ntnn-mst-0312475312.html,2024-08-10 21:26:12
CÔNG TY TNHH ĐẦU TƯ QUỐC TẾ PHÚC LONG,"164 Đường Thân Văn Nhiếp, Khu phố 2, Phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312475150,24/09/2013,0902962988,,,,(Mã ngành cũ) - Xây dựng công trình kỹ thuật dân dụng khác,https://hosocongty.vn/cong-ty-tnhh-dau-tu-quoc-te-phuc-long-com-97.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-dau-tu-quoc-te-phuc-long-mst-0312475150.html,2024-08-10 21:26:20
CÔNG TY TNHH MỘT THÀNH VIÊN NỮ TRANG KIM ĐẠT,"Sạp 44, Chợ Trần Nhân Tôn, Số 1 Bis Đường Hòa Hảo, Phường 02, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",0312475143,24/09/2013,,,Công ty TNHH một thành viên,,Bán buôn đồ dùng khác cho gia đình,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-nu-trang-kim-dat-com-98.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-nu-trang-kim-dat-mst-0312475143.html,2024-08-10 21:26:23
CÔNG TY TNHH GIẤY ĐỨC PHÁT THỊNH,"200/22 Tổ 12 ấp Chánh 1, Xã Tân Xuân, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",0312475136,24/09/2013,0905954954,,,,"Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",https://hosocongty.vn/cong-ty-tnhh-giay-duc-phat-thinh-com-99.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-giay-duc-phat-thinh-mst-0312475136.html,2024-08-10 21:26:31
CÔNG TY TNHH NGÂN ÁNH DƯƠNG,"158/36 Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0312475129,24/09/2013,0907418157,,,,Chuyển phát,https://hosocongty.vn/cong-ty-tnhh-ngan-anh-duong-com-100.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-ngan-anh-duong-mst-0312475129.html,2024-08-10 21:26:52
CÔNG TY CỔ PHẦN Y KHOA HOÀN MỸ,"Phòng 1103, TN Maritime Bank Tower, 180-192 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312475087,24/09/2013,,,Công ty cổ phần,,"Hoạt động của các phòng khám đa khoa, chuyên khoa và nha khoa",https://hosocongty.vn/cong-ty-co-phan-y-khoa-hoan-my-com-101.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-y-khoa-hoan-my-ntnn-mst-0312475087.html,2024-08-10 21:26:55
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ THIÊN THIÊN PHÚC,"Số 16 Tăng Nhơn Phú, Phường Phước Long B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312475048,24/09/2013,0862881380,,Công ty TNHH một thành viên,,Hoạt động cấp tín dụng khác,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-dau-tu-thien-thien-phuc-com-102.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-dau-tu-thien-thien-phuc-mst-0312475048.html,2024-08-10 21:26:58
CÔNG TY TNHH GUARDIANANGEL,"85 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312474950,24/09/2013,,,,,Tổ chức giới thiệu và xúc tiến thương mại,https://hosocongty.vn/cong-ty-tnhh-guardianangel-com-103.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-guardianangel-mst-0312474950.html,2024-08-10 21:27:11
